STT,Từ Vựng (Kanji),Cách Đọc (Hiragana),Hán Việt,Ý Nghĩa Tiếng Việt,English Meaning,Ví Dụ (Example)
251,戻り,もどり,LỆ,"Sự quay lại, trở về",return,きょうの戻りは3時ごろになります。
252,別れ,わかれ,BIỆT,"Sự chia tay, ly biệt","parting, farewell",日本では3月は別れの季節だ。
253,喜び,よろこび,HỈ,"Niềm vui, hạnh phúc","joy, delight",優勝できて、喜びでいっぱいだ。
254,楽しみ,たのしみ,LẠC,"Niềm vui thích, mong chờ","pleasure, anticipation",来週のパーティーが楽しみだ。
255,笑い,わらい,TIẾU,Tiếng cười,"laughter, smile",歌手の冗談で会場に笑いが起きた。
256,驚き,おどろき,KINH,Sự kinh ngạc,"surprise, astonishment",この大きな家が100万円とは驚きだ。
257,怒り,いかり,NỘ,"Cơn giận, sự tức giận","anger, wrath",殺人のニュースに怒りを感じた。
258,悲しみ,かなしみ,BI,"Nỗi buồn, đau thương","sadness, grief",愛犬を亡くした悲しみが消えない。
259,幸せな,しあわせな,HẠNH,Hạnh phúc,happy,幸せな人生を過ごす。
260,得意な,とくいな,ĐẮC Ý,"Giỏi, đắc ý, sở trường","good at, proud",彼女は料理が得意だ。
261,苦手な,にがてな,KHỔ THỦ,"Kém, không giỏi, sợ/ngại","weak at, uncomfortable with",私は数学が苦手だ。
262,熱心な,ねっしんな,NHIỆT TÂM,"Nhiệt tình, hăng hái","enthusiastic, eager",彼女は子どもの教育に熱心だ。
263,夢中な,むちゅうな,MỘNG TRUNG,"Say mê, mê mẩn","absorbed, crazy about",子どものころ漫画に夢中になった。
264,退屈な,たいくつな,THOÁI KHUẤT,"Nhàm chán, buồn tẻ","boring, tedious",きょうは何もすることがなくて退屈だ。
265,健康な,けんこうな,KIỆN KHANG,"Khỏe mạnh, lành mạnh",healthy,心も体も健康な子どもを育てたい。
266,苦しい,くるしい,KHỔ,"Đau đớn, khổ cực, khó thở","painful, hard",息が苦しい。苦しい時代を生きてきた。
267,平気な,へいきな,BÌNH KHÍ,"Bình thản, dửng dưng","calm, unfazed",彼女は悪口を言われても平気な顔をしている。
268,悔しい,くやしい,HỐI,"Tiếc nuối, cay cú","frustrating, regrettable",1点差で試合に負けて悔しい思いをした。
269,うらやましい,うらやましい,,"Ghen tị, thèm muốn","envious, jealous",才能の豊かな人がうらやましい。
270,かゆい,かゆい,,Ngứa,itchy,蚊に刺されて首がかゆい。
271,おとなしい,おとなしい,,"Hiền lành, trầm, nhã nhặn","quiet, gentle",うちの犬はおとなしい。
272,我慢強い,がまんづよい,NGÃ MẠN CƯỜNG,"Kiên trì, nhẫn nại","persevering, patient",がまん強い性格。
273,正直な,しょうじきな,CHÍNH TRỰC,"Chính trực, thật thà",honest,彼は正直な人だからうそをつけない。
274,けちな,けちな,,"Keo kiệt, bủn xỉn","stingy, cheap",あの人はとてもけちだ。
275,わがままな,わがままな,,"Ích kỷ, bướng bỉnh",selfish,わがままな行動。彼女はわがままだ。
276,積極的な,せっきょくてきな,TÍCH CỰC ĐÍCH,"Tích cực, chủ động","active, positive",日本語を身につけるため積極的に話す。
277,消極的な,しょうきょくてきな,TIÊU CỰC ĐÍCH,"Tiêu cực, thụ động","passive, reluctant",首相は教育問題に消極的だ。
278,満足な,まんぞくな,MÃN TÚC,"Hài lòng, thỏa mãn, đầy đủ","satisfied, adequate",今の生活に十分満足している。
279,不満な,ふまんな,BẤT MÃN,"Bất mãn, không hài lòng",dissatisfied,この仕事に不満な点はない。
280,不安な,ふあんな,BẤT AN,"Lo lắng, bất an","anxious, uneasy",悪い病気ではないかと不安だ。
281,大変な,たいへんな,ĐẠI BIẾN,"Vất vả, khủng khiếp","tough, awful, terrible",きのうは宿題が多くて大変だった。
282,無理な,むりな,VÔ LÝ,"Vô lý, quá sức, ép buộc","impossible, unreasonable",三日で論文を書くのはとても無理だ。
283,不注意な,ふちゅういな,BẤT CHÚ Ý,"Bất cẩn, sơ suất",careless,不注意なミスが多くなる。
284,楽な,らくな,LẠC,"Dễ chịu, thoải mái, nhàn hạ","easy, comfortable",もう少し楽な暮らしがしたい。
285,面倒な,めんどうな,DIỆN ĐẢO,"Phiền hà, rắc rối",troublesome,入会には面倒な手続きはいりません。
286,失礼な,しつれいな,THẤT LỄ,"Thất lễ, bất lịch sự","rude, impolite",あいさつもしないなんて失礼な人だ。
287,当然な,とうぜんな,ĐƯƠNG NHIÊN,"Đương nhiên, dĩ nhiên","natural, reasonable",お金を借りたら返すのが当然だ。
288,意外な,いがいな,Ý NGOẠI,"Bất ngờ, ngoài dự kiến","unexpected, surprising",彼が結婚しているとは意外だった。
289,結構な,けっこうな,KẾT CẤU,"Tốt, được, đủ rồi","fine, good, enough",お味はいかがですか。大変けっこうです。
290,派手な,はでな,PHÁI THỦ,"Lòe loẹt, sặc sỡ, nổi bật","flashy, showy",この服は派手すぎる。
291,地味な,じみな,ĐẠI VỊ,"Giản dị, mộc mạc, chìm","plain, conservative",あの人は若いのに地味な服ばかり着る。
292,おしゃれな,おしゃれな,,"Hợp thời trang, sành điệu","stylish, fashionable",彼女はとてもおしゃれだ。
293,変な,へんな,BIẾN,"Lạ lùng, kỳ quặc","strange, weird",変なメールが届いたのですぐ消した。
294,不思議な,ふしぎな,BẤT TƯ NGHỊ,"Kỳ diệu, lạ lùng","mysterious, strange",この村には不思議な話が伝わっている。
295,ましな,ましな,,"Tốt hơn, còn hơn","better, preferable",何もしないよりはやったほうがましだ。
296,むだな,むだな,VÔ ĐÀ,"Lãng phí, vô ích","wasteful, useless",必要ないものを買ってむだ遣いをした。
297,自由な,じゆうな,TỰ DO,Tự do,free,自由な時間があまりない。
298,不自由な,ふじゆうな,BẤT TỰ DO,"Tàn tật, bất tiện","disabled, inconvenient",目や足が不自由な人。不自由な生活。
299,暖まる/温まる,あたたまる,NOÃN/ÔN,(Tự) Trở nên ấm áp,become warm,お風呂に入ると体が暖まる。
300,暖める/温める,あたためる,NOÃN/ÔN,"(Tha) Làm ấm, hâm nóng","warm, heat up",スープを温める。
301,高まる,たかまる,CAO,"(Tự) Tăng cao, dâng cao","rise, increase",政治への関心が高まっている。
302,高める,たかめる,CAO,(Tha) Nâng cao,"raise, enhance",コミュニケーション能力を高める。
303,強まる,つよまる,CƯỜNG,(Tự) Mạnh lên,strengthen,雨や風が強まる。
304,強める,つよめる,CƯỜNG,"(Tha) Làm mạnh thêm, tăng (lửa)","strengthen, intensify",火を強める。自信を強める。
305,弱まる,よわまる,NHƯỢC,(Tự) Yếu đi,weaken,風の勢力が弱まる。
306,弱める,よわめる,NHƯỢC,"(Tha) Làm yếu đi, vặn nhỏ (lửa)","weaken, reduce",火を弱めて煮込む。
307,広まる,ひろまる,QUẢNG,"(Tự) Lan truyền, mở rộng (trừu tượng)",spread,うわさが会社中に広まった。
308,広める,ひろめる,QUẢNG,"(Tha) Truyền bá, phổ biến","propagate, popularize",西洋文化を日本に広めた。
309,深まる,ふかまる,THÂM,"(Tự) Sâu sắc thêm, sâu đậm",deepen,二人の愛情が深まった。秋が深まる。
310,深める,ふかめる,THÂM,"(Tha) Làm sâu sắc thêm, thắt chặt","deepen, cultivate",交流を深め、相互理解を深める。
311,世話,せわ,THẾ THOẠI,"Sự chăm sóc, giúp đỡ","care, support",ペットの世話をする。お世話になりました。
312,家庭,かてい,GIA ĐÌNH,"Gia đình, nhà","home, household",あたたかい家庭を持ちたい。
313,協力,きょうりょく,HIỆP LỰC,"Hợp tác, hiệp lực",cooperation,家族で協力して祖母の介護をした。
314,感謝,かんしゃ,CẢM TẠ,"Cảm ơn, cảm tạ","gratitude, thank",先輩にとても感謝している。
315,お礼,おれい,LỄ,"Sự cảm ơn, quà cảm ơn","thanks, token of gratitude",お世話になった方にお礼をする。
316,お詫び,おわび,SÁ,"Lời xin lỗi, tạ lỗi",apology,迷惑をかけた人におわびをする。
317,おじぎ,おじぎ,,Cúi chào,bow,お客様にていねいにおじぎをする。
318,握手,あくしゅ,ÁC THỦ,Bắt tay,handshake,歌手と握手した。
319,いじわる,いじわる,Ý ĐỊA ÁC,"Xấu tính, trêu chọc","spite, mean",好きだからつい意地悪してしまう。
320,いたずら,いたずら,,"Nghịch ngợm, trò quậy phá","prank, mischief",いたずらをして先生に怒られた。
321,節約,せつやく,TIẾT ƯỚC,Tiết kiệm,"saving, economizing",生活費を節約する。電気を節約する。
322,経営,けいえい,KINH DOANH,"Kinh doanh, quản trị",management,父はスーパーを経営している。
323,反省,はんせい,PHẢN TỈNH,"Kiểm điểm, tự suy ngẫm","reflection, remorse",1日の反省を日記に書く。
324,実行,じっこう,THỰC HÀNH,"Thực hành, thực hiện",implementation,作戦を実行する。計画を実行する。
325,進歩,しんぽ,TIẾN BỘ,Tiến bộ,progress,科学技術が進歩する。
326,変化,へんか,BIẾN HÓA,"Biến đổi, thay đổi","change, variation",社会が大きく変化する。
327,発達,はったつ,PHÁT ĐẠT,"Phát triển (thể chất, văn minh)",development,体や心が発達する。文明が発達する。
328,体力,たいりょく,THỂ LỰC,"Thể lực, sức lực",physical strength,若者の体力が低下している。
329,出場,しゅつじょう,XUẤT TRƯỜNG,Tham gia thi đấu/trình diễn,participation,オリンピックに出場する。
330,活躍,かつやく,HOẠT DƯỢC,"Hoạt động tích cực, tỏa sáng","activity, great efforts",運動会で大活躍した。
331,競争,きょうそう,CẠNH TRANH,"Cạnh tranh, thi đua",competition,どちらがいい成績を取るか友だちと競争した。
332,応援,おうえん,ỨNG VIỆN,"Cổ vũ, hỗ trợ","cheering, support",自分の学校のチームを応援する。
333,拍手,はくしゅ,PHÁCH THỦ,Vỗ tay,applause,ステージの歌手に拍手を送る。
334,人気,にんき,NHÂN KHÍ,"Được yêu thích, nổi tiếng",popularity,彼はクラスで一番人気がある。
335,うわさ,うわさ,,"Lời đồn, tin đồn",rumor,消費税が上がるといううわさがある。
336,情報,じょうほう,TÌNH BÁO,Thông tin,information,テレビからいろいろな情報を得る。
337,交換,こうかん,GIAO HOÁN,"Trao đổi, thay thế","exchange, replacement",名刺や意見を交換する。電池を交換する。
338,流行,りゅうこう,LƯU HÀNH,"Trào lưu, thịnh hành, lan tràn","fashion, fad, epidemic",若者の間で流行している。インフルエンザの流行。
339,宣伝,せんでん,TUYÊN TRUYỀN,"Quảng bá, tuyên truyền","publicity, advertising",新商品をテレビで宣伝する。
340,広告,こうこく,QUẢNG CÁO,Quảng cáo,advertisement,新聞に新製品の広告が載っていた。
341,注目,ちゅうもく,CHÚ MỤC,"Chú ý, quan sát, theo dõi",attention,有名歌手の結婚が注目を集めている。
342,通訳,つうやく,THÔNG DỊCH,"Thông dịch, phiên dịch viên","interpretation, interpreter",英語を日本語に通訳する。
343,翻訳,ほんやく,PHIÊN DỊCH,"Biên dịch, dịch sách",translation,小説を英語に翻訳する。
344,伝言,でんごん,TRUYỀN NGÔN,"Tin nhắn, lời nhắn",message,留守番電話に伝言を残す。
345,報告,ほうこく,BÁO CÁO,Báo cáo,report,学校に試合の結果を報告する。
346,録画,ろくが,LỤC HỌA,"Ghi hình, thu video",video recording,テレビ番組をビデオに録画する。
347,混雑,こんざつ,HỖN TẠP,"Tắc nghẽn, đông đúc","crowding, congestion",デパートは大勢の人で混雑している。
348,渋滞,じゅうたい,SÁP TRỆ,"Kẹt xe, tắc đường",traffic jam,道路が渋滞していて会議に遅刻した。
349,衝突,しょうとつ,XUNG ĐỘT,"Va chạm, đâm xe, xung đột ý kiến","collision, clash",バスがトラックと衝突した。意見の衝突。
350,被害,ひがい,BỊ HẠI,Thiệt hại,"damage, harm",台風で大きな被害が出る。
351,事故,じこ,SỰ CỐ,"Sự cố, tai nạn",accident,警察が事故の原因を調べている。
352,事件,じけん,SỰ KIỆN,"Vụ án, sự việc rắc rối","incident, case",近所で事件があった。
353,故障,こしょう,CỐ CHƯỚNG,"Hỏng hóc, sự cố máy móc","breakdown, trouble",洗たく機が故障した。
354,修理,しゅうり,TU LÝ,Sửa chữa,repair,パソコンを修理に出した。
355,停電,ていでん,ĐÌNH ĐIỆN,"Mất điện, cúp điện","blackout, power outage",雷が落ちて停電した。
356,調子,ちょうし,ĐIỀU TỬ,"Tình trạng, phong độ, giọng điệu","condition, tone",体の調子がいい。調子に乗る。
357,緊張,きんちょう,KHẨN TRƯƠNG,"Căng thẳng, hồi hộp","nervousness, tension",面接では緊張してうまく話せなかった。
358,自信,じしん,TỰ TÍN,Tự tin,confidence,体力に自信がある。もっと自信を持つ。
359,自慢,じまん,TỰ MÃN,"Tự hào, khoe khoang","pride, boast",自慢の料理を作る。
360,感心,かんしん,CẢM TÂM,"Ngưỡng mộ, khâm phục, đáng khen",admiration,チンさんの進歩の速さに感心した。
361,感動,かんどう,CẢM ĐỘNG,"Cảm động, xúc động",being moved/touched,パラリンピックを見て感動した。
362,興奮,こうふん,HƯNG PHẤN,"Hưng phấn, phấn khích",excitement,観客たちは興奮して大声を出した。
363,感想,かんそう,CẢM TƯỞNG,"Cảm tưởng, nhận xét","impression, thought",映画の感想を述べる。
364,予想,よそう,DỰ TƯỞNG,Dự đoán,"forecast, prediction",選挙の結果を予想する。
365,専門,せんもん,CHUYÊN MÔN,Chuyên môn,"specialty, major",私の専門は言語学です。
366,研究,けんきゅう,NGHIÊN CỨU,Nghiên cứu,"research, study",大学で日本の政治を研究している。
367,調査,ちょうさ,ĐIỀU TRA,"Điều tra, khảo sát","investigation, survey",学生の希望を調査する。
368,原因,げんいん,NGUYÊN NHÂN,Nguyên nhân,cause,事故の原因を調べる。
369,結果,けっか,KẾT QUẢ,Kết quả,result,努力した結果、できるようになった。
370,解決,かいけつ,GIẢI QUYẾT,Giải quyết,"solution, resolution",トラブルを解決する。問題が解決した。
371,確認,かくにん,XÁC NHẬN,"Xác nhận, kiểm tra lại",confirmation,間違いがないか確認する。
372,利用,りよう,LỢI DỤNG,"Sử dụng, tận dụng, lợi dụng","use, utilization",通学に電車を利用する。
373,理解,りかい,LÝ GIẢI,"Hiểu, thấu hiểu",understanding,内容を深く理解する。
374,発見,はっけん,PHÁT KIẾN,"Phát hiện, tìm ra",discovery,新しい種類の動物を発見した。
375,発明,はつめい,PHÁT MINH,Phát minh,invention,ベルは電話を発明した。
376,関係,かんけい,QUAN HỆ,"Quan hệ, liên quan","relationship, relation",先輩と後輩の関係。私には関係がない。
377,団体,だんたい,ĐOÀN THỂ,"Đoàn thể, tập thể","group, organization",博物館で団体のチケットを買う。
378,選挙,せんきょ,TUYỂN CỬ,Bầu cử,election,選挙で市長を選ぶ。
379,税金,ぜいきん,THUẾ KIM,"Thuế, tiền thuế",tax,年度末に税金を払う。
380,責任,せきにん,TRÁCH NHIỆM,Trách nhiệm,responsibility,倒産の責任をとって辞めた。
381,書類,しょるい,THƯ LOẠI,"Giấy tờ, tài liệu","documents, papers",留学の手続きに必要な書類。
382,題名,だいめい,ĐỀ DANH,"Nhan đề, tiêu đề",title,作品に題名をつける。
383,条件,じょうけん,ĐIỀU KIỆN,Điều kiện,"condition, terms",採用の条件を確認する。
384,締め切り,しめきり,ĐẾ THIẾT,"Hạn chót, deadline",deadline,レポートの締め切りは30日です。
385,期間,きかん,KỲ GIAN,"Thời kỳ, khoảng thời gian","period, term",工事期間は12月1日から3日までです。
386,倍,ばい,BỘI,"Gấp bội, lần (gấp đôi...)","times, double",太陽の大きさは地球の約100倍だ。
387,くじ,くじ,,"Xổ số, bốc thăm","lottery, raffle",くじを引いたらテレビが当たった。
388,近道,ちかみち,CẬN ĐẠO,Đường tắt,shortcut,遅刻しそうなので近道を通る。
389,中心,ちゅうしん,TRUNG TÂM,Trung tâm,center,街の中心。仕事中心の生活。
390,辺り,あたり,BIÊN,"Vùng lân cận, khoảng chừng","neighborhood, around",この辺りは昔は林だった。
391,周り/回り,まわり,CHU/HỒI,"Xung quanh, chu vi","surroundings, circumference",池の周りを歩く。周りの人と仲良くする。
392,穴,あな,HUYỆT,"Cái hố, lỗ thủng",hole,地面に穴を掘る。壁に穴をあける。
393,列,れつ,LIỆT,"Hàng, dãy","line, row",入り口の前に長い列ができていた。
394,幅,はば,PHÚC,"Chiều rộng, phạm vi","width, range",道の幅が広い。交際のはばが広い。
395,範囲,はんい,PHẠM VI,Phạm vi,"scope, range",試験の範囲。趣味の範囲が広い。
396,内容,ないよう,NỘI DUNG,Nội dung,content,このレポートは内容がよい。
397,中身,なかみ,TRUNG THÂN,"Bên trong, ruột, bản chất","contents, interior",箱を開けて中身を見る。
398,特徴,とくちょう,ĐẶC TRƯNG,"Đặc trưng, nét nổi bật","feature, characteristic",彼女は特徴のある顔をしている。
399,普通,ふつう,PHỔ THÔNG,"Bình thường, thông thường","ordinary, normal",普通は会社員は昼間に働く。
400,当たり前,あたりまえ,ĐƯƠNG TIỀN,"Hiển nhiên, đương nhiên","natural, obvious",そんなことをされたら怒るのが当たり前だ。
401,偽,にせ,NGỤY,"Hàng giả, giả mạo","fake, imitation",にせの銀行員にだまされた。
402,別,べつ,BIỆT,"Khác nhau, riêng biệt","different, separate",恋愛と結婚は別だ。別に連絡する。
403,国籍,こくせき,QUỐC TỊCH,Quốc tịch,nationality,アメリカに住んでいるが国籍は日本だ。
404,東洋,とうよう,ĐÔNG DƯƠNG,Phương Đông,"the East, Orient",東洋の文化と西洋の文化を比べる。
405,西洋,せいよう,TÂY DƯƠNG,Phương Tây,"the West, Occident",西洋料理を習う。
406,国際,こくさい,QUỐC TẾ,Quốc tế,international,トラブルが国際問題に発展した。
407,自然,しぜん,TỰ NHIÊN,"Tự nhiên, thiên nhiên","nature, natural",自然の中で過ごす。自然な態度。
408,景色,けしき,CẢNH SẮC,"Cảnh sắc, phong cảnh","scenery, landscape",山からの景色がすばらしかった。
409,宗教,しゅうきょう,TÔN GIÁO,Tôn giáo,religion,世界にはいろいろな宗教がある。
410,愛,あい,ÁI,"Tình yêu, yêu thương",love,家族を愛している。神への愛。
411,届く,とどく,GIỚI,"(Tự) Tới nơi, với tới","be delivered, reach",父から手紙が届いた。本棚に手が届かない。
412,届ける,とどける,GIỚI,"(Tha) Gửi đến, báo cáo","deliver, notify",隣に旅行のおみやげを届けた。
413,かく,かく,,"Gãi, toát mồ hôi, ngáy, xấu hổ","scratch, sweat, snore",頭をかく。汗をかく。恥をかく。
414,つかむ,つかむ,,"Nắm bắt, tóm lấy, chớp thời cơ","grab, grasp",腕をつかまれた。チャンスをつかむ。
415,握る,にぎる,ÁC,"Nắm chặt, nắm tay","grip, squeeze",母親の手を強く握った。
416,押さえる,おさえる,ÁP,"Giữ chặt, ấn đè, bịt","hold down, press",おなかを押さえて座っている。
417,近づく,ちかづく,CẬN,"(Tự) Đến gần, cận kề","approach, draw near",目的地に近づいてきた。春休みが近づく。
418,近づける,ちかづける,CẬN,"(Tha) Đưa lại gần, kéo gần",bring closer,車を道のわきに近づける。
419,合う,あう,HỢP,"(Tự) Vừa vặn, hợp nhau, khớp","match, fit, suit",意見が合う。このスーツに合うネクタイ。
420,合わせる,あわせる,HỢP,"(Tha) Hợp nhất, chỉnh cho khớp","combine, adjust",みんなで力を合わせる。時計の時間を合わせる。
421,当たる,あたる,ĐƯƠNG,"(Tự) Trúng, va trúng, đúng (dự đoán)","hit, be right, win",ボールが当たる。宝くじが当たる。
422,当てる,あてる,ĐƯƠNG,"(Tha) Đánh trúng, đoán trúng, áp vào","hit, guess right, apply",クイズの答えを当てる。ひたいに手を当てる。
423,比べる,くらべる,TỶ,So sánh,compare,東京と大阪の面積を比べる。
424,似合う,にあう,TỰ HỢP,"(Tự) Hợp, xứng đôi","look good on, suit",彼女は着物がよく似合う。
425,似る,にる,TỰ,"(Tự) Giống, tương tự","resemble, look like",彼女は母親によく似ている。
426,似せる,にせる,TỰ,"(Tha) Bắt chước, nhái theo","imitate, copy",アイドルに髪型を似せる。
427,分かれる,わかれる,PHÂN,"(Tự) Chia ra, rẽ nhánh, bất đồng","be divided, split",トイレは男性用と女性用に分かれている。
428,分ける,わける,PHÂN,"(Tha) Chia, phân chia, rẽ lối","divide, split",財産を子どもに分ける。人ごみを分けて進む。
429,足す,たす,TÚC,"Cộng vào, thêm vào",add,味が薄いので塩を足した。4たす6は10だ。
430,引く,ひく,DẪN,"Kéo, trừ, tra cứu, dắt","pull, subtract, consult",カーテンを引く。10ひく2は8。辞書を引く。
431,増える,ふえる,TĂNG,(Tự) Tăng lên,increase,貯金が増える。体重が増える。
432,増やす,ふやす,TĂNG,(Tha) Làm tăng thêm,"increase, add to",貯金を増やす。
433,減る,へる,GIẢM,(Tự) Giảm đi,decrease,人口が減る。
434,減らす,へらす,GIẢM,"(Tha) Cắt giảm, giảm bớt","reduce, decrease",体重を減らす。
435,変わる,かわる,BIẾN,"(Tự) Thay đổi, đổi thay",change,季節が変わる。信号が赤に変わった。
436,変える,かえる,BIẾN,"(Tha) Đổi, biến đổi","change, alter",髪型を変える。人生を変える。
437,替わる/代わる/換わる,かわる,THẾ/ĐẠI/HOÁN,"(Tự) Thay thế, đổi chỗ","be replaced, substitute",4月に店長がかわった。
438,替える/代える/換える,かえる,THẾ/ĐẠI/HOÁN,"(Tha) Đổi chác, thay thế","replace, exchange",千円札を百円玉にかえてもらった。
439,返る,かえる,PHẢN,"(Tự) Trở về, được trả lại","return, come back",友だちに貸したお金が返ってきた。
440,返す,かえす,PHẢN,(Tha) Trả lại,return something,図書館に本を返す。
441,譲る,ゆずる,NHƯỢNG,"Nhường nhịn, chuyển nhượng","give up, yield, transfer",電車でお年寄りに席をゆずる。
442,助かる,たすかる,TRỢ,"(Tự) Thoát nạn, may mắn, đỡ quá","survive, be helped",飛行機が落ちたが3人が助かった。コピーしてくれて助かる。
443,助ける,たすける,TRỢ,"(Tha) Cứu giúp, giúp đỡ","save, help",川に落ちた子どもを助けた。
444,いじめる,いじめる,,"Bắt nạt, trêu chọc","bully, tease",弟をいじめる。
445,だます,だます,,"Lừa gạt, lừa dối","deceive, cheat",独身だとだまして付き合っていた。
446,盗む,ぬすむ,ĐẠO,"Ăn cắp, trộm",steal,泥棒にお金をぬすまれた。
447,刺さる,ささる,THÍCH,"(Tự) Đâm vào, găm vào","be stuck, prick",指にとげが刺さって痛い。
448,刺す,さす,THÍCH,"(Tha) Đâm, chích, châm","stab, pierce, sting",指にとげを刺してしまった。蜂に刺される。
449,殺す,ころす,SÁT,"Giết, tiêu diệt",kill,ゴキブリをスリッパでたたいて殺した。
450,隠れる,かくれる,ẨN,"(Tự) Trốn, ẩn nấp, khuất","hide, conceal oneself",犯人は空き家に隠れていた。月が雲に隠れる。
451,隠す,かくす,ẨN,"(Tha) Giấu, che giấu","hide, conceal",お金を引き出しの奥に隠した。
452,埋まる,うまる,MAI,"(Tự) Bị chôn vùi, lấp đầy","be buried, filled",山がくずれて家が埋まってしまった。
453,埋める,うめる,MAI,"(Tha) Chôn, lấp kín","bury, fill",穴を掘ってごみを埋めた。
454,囲む,かこむ,VI,"Bao quanh, vây quanh","surround, enclose",テーブルを囲んで座る。日本は海に囲まれている。
455,詰まる,つまる,CẬT,"(Tự) Nhồi nhét đầy, nghẹt (mũi/ống)","be packed, clogged",かばんに荷物がつまっている。鼻がつまる。
456,詰める,つめる,CẬT,"(Tha) Nhét vào, rút ngắn (khoảng cách)","pack, stuff, shorten",かばんに荷物をつめる。前の車との距離をつめる。
457,開く,ひらく,KHAI,"(Tự/Tha) Mở (cửa, sách, hoa, cuộc họp)","open, bloom, hold",花が開く。本を開く。会議を開く。
458,閉じる,とじる,BẾ,"(Tự/Tha) Đóng (mắt, sách, cửa)","close, shut",本を閉じる。目を閉じる。店を閉じる。
459,飛ぶ,とぶ,PHI,"(Tự) Bay, bắn tóe, bay biến (dữ liệu)","fly, splash, jump",鳥が空を飛ぶ。パソコンのデータが飛んだ。
460,飛ばす,とばす,PHI,"(Tha) Phóng bay, bắn bay, nhảy cóc (dòng)","let fly, blow off, skip",紙飛行機を飛ばす。1行飛ばして読んだ。
461,振る,ふる,CHẤN,"Vẫy, rắc, từ chối (bồ đá)","wave, sprinkle, reject",手を振る。肉に塩を振る。彼女に告白したがふられた。
462,めくる,めくる,,"Lật, giở (trang sách, lịch)","turn over, flip",カレンダーのページをめくる。
463,見かける,みかける,KIẾN QUẢI,"Tình cờ thấy, bắt gặp","happen to see, spot",街で昔の友だちを見かけた。
464,確かめる,たしかめる,XÁC,"Xác nhận, làm rõ","check, make sure",相手に電話して確かめた。
465,試す,ためす,THÍ,"Thử, thử nghiệm","try, test",洋服を試着してみる。自分の実力を試す。
466,繰り返す,くりかえす,SÀO PHẢN,Lặp đi lặp lại,repeat,同じ失敗を繰り返してはいけません。
467,訳す,やくす,DỊCH,Dịch thuật,translate,英語を日本語に訳す。
468,行う,おこなう,HÀNH,"Tiến hành, tổ chức","carry out, perform",試験やイベントを行う。
469,間違う,まちがう,GIAN VI,"(Tự/Tha) Sai, nhầm lẫn","be incorrect, mistake",この計算は間違っている。簡単な計算を間違えた。
470,間違える,まちがえる,GIAN VI,"(Tha) Làm sai, nhầm lẫn với cái khác","make a mistake, confuse",塩とさとうを間違えて鍋に入れた。
471,許す,ゆるす,HỨA,"Tha thứ, cho phép","forgive, permit",相手が謝ったので許してあげた。
472,慣れる,なれる,QUÁN,"(Tự) Quen với, thuần phục",get used to,日本の生活に慣れた。
473,慣らす,ならす,QUÁN,"(Tha) Khởi động, làm cho quen/thuần hóa","warm up, tame",体を慣らしてからプールに入る。
474,立つ,たつ,LẬP,"(Tự) Đứng, dựng lên","stand, be built",名前を呼ばれたら立ってください。看板が立っている。
475,立てる,たてる,LẬP,(Tha) Dựng đứng lên,stand something up,屋根の上にアンテナを立てる。
476,建つ,たつ,KIẾN,(Tự) Được xây dựng,"be built, constructed",家の前にマンションが建った。
477,建てる,たてる,KIẾN,(Tha) Xây dựng (nhà cửa),"build, construct",都心に家を建てる。
478,育つ,そだつ,DỤC,"(Tự) Lớn lên, phát triển","grow up, be trained",子どもが元気に育つ。
479,育てる,そだてる,DỤC,"(Tha) Nuôi nấng, trồng trọt, đào tạo","raise, cultivate, train",5人の子どもを育てた。人材を育てる。
480,生える,はえる,SANH,"(Tự) Mọc (răng, tóc, rêu, mốc)","grow, sprout",ひげや歯が生える。かびが生える。
481,生やす,はやす,SANH,"(Tha) Để mọc, nuôi (râu)",grow a beard,ひげを生やす。
482,汚れる,よごれる,Ô,"(Tự) Bị bẩn, ô nhiễm","get dirty, contaminated",空気の汚れたところには住みたくない。
483,汚す,よごす,Ô,"(Tha) Làm bẩn, làm dơ","make dirty, pollute",泥遊びをして服を汚した。
484,壊れる,こわれる,HOẠI,"(Tự) Bị hỏng, đổ vỡ","break, be broken",家具が壊れる。時計が壊れた。
485,壊す,こわす,HOẠI,"(Tha) Làm hỏng, phá hủy, hại (sức khỏe)","break, ruin",おもちゃを壊す。飲み過ぎて体を壊した。
486,割れる,われる,CÁT,"(Tự) Bị vỡ, rạn nứt, chia rẽ","break, split",ガラスが割れる。みんなの意見が割れる。
487,割る,わる,CÁT,"(Tha) Đập vỡ, chia rẽ, làm phép chia","break, divide",卵を割ってボウルに入れる。10割る5は2。
488,折れる,おれる,CHIẾT,"(Tự) Bị gãy, gập lại","break, snap, be folded",強い風で枝が折れた。
489,折る,おる,CHIẾT,"(Tha) Bẻ gãy, gập giấy","break, bend, fold",スキーで足の骨を折った。便箋を三つに折る。
490,破れる,やぶれる,PHÁ,"(Tự) Bị rách, thủng, tan vỡ","be torn, broken",紙や布が破れる。
491,破る,やぶる,PHÁ,"(Tha) Xé rách, phá vỡ (kỷ lục/lời hứa)","tear, break a promise/record",約束を破る。水泳の世界記録を破った。
492,曲がる,まがる,KHÚC,"(Tự) Rẽ, quẹo, uốn cong","bend, turn",この角を右に曲がる。腰が曲がったおばあさん。
